"topic","page","modul","replace"
"calendar","calendar","episode","replace modul="episode" if page=="calendar""
"episodeCreate","episodeCreate","episode","replace modul="episode" if page=="episodeCreate""
"episodeUpdate","episodeUpdate","episode","replace modul="episode" if page=="episodeUpdate""
"dispatcher","episodeDispatcher","episodes","replace modul="episodes" if page=="episodeDispatcher""
"dispatcher","surveyDispatcher","episodes","replace modul="episodes" if page=="surveyDispatcher""
"dispatcher","episodeUpdateDispatcher","episodes","replace modul="episodes" if page=="episodeUpdateDispatcher""
"dispatcher","episodeUpdateExitDispatcher","episodes","replace modul="episodes" if page=="episodeUpdateExitDispatcher""
"debug","indexWarning","debug","replace modul="debug" if page=="indexWarning""
"debug","debug","debug","replace modul="debug" if page=="debug""
"dispatcher","set_episode_index","episodes","replace modul="episodes" if page=="set_episode_index""
"episodeDelete","episodeDelete","episodes","replace modul="episodes" if page=="episodeDelete""
"dispatcher","defaultLanding_sco","episode","replace modul="episode" if page=="defaultLanding_sco""
"dispatcher","defaultLanding_stu","episode","replace modul="episode" if page=="defaultLanding_stu""
"dispatcher","defaultLanding_voc","episode","replace modul="episode" if page=="defaultLanding_voc""
"dispatcher","defaultLanding_fed","episode","replace modul="episode" if page=="defaultLanding_fed""
"dispatcher","defaultLanding_job","episode","replace modul="episode" if page=="defaultLanding_job""
"dispatcher","defaultLanding_emp","episode","replace modul="episode" if page=="defaultLanding_emp""
"dispatcher","defaultLanding_sem","episode","replace modul="episode" if page=="defaultLanding_sem""
"dispatcher","defaultLanding_int","episode","replace modul="episode" if page=="defaultLanding_int""
"dispatcher","defaultLanding_doc","episode","replace modul="episode" if page=="defaultLanding_doc""
"dispatcher","defaultLanding_mpl","episode","replace modul="episode" if page=="defaultLanding_mpl""
"dispatcher","defaultLanding_uem","episode","replace modul="episode" if page=="defaultLanding_uem""
"dispatcher","defaultLanding_oth","episode","replace modul="episode" if page=="defaultLanding_oth""
"debug","debug2","debug","replace modul="debug" if page=="debug2""
"vocx","vocx001","episodes","replace modul="episodes" if page=="vocx001""
"vocx","vocx002","episodes","replace modul="episodes" if page=="vocx002""
"voca","voca008","episodes","replace modul="episodes" if page=="voca008""
"voca","voca009","episodes","replace modul="episodes" if page=="voca009""
"voca","voca010","episodes","replace modul="episodes" if page=="voca010""
"voca","voca011","episodes","replace modul="episodes" if page=="voca011""
"voca","voca013","episodes","replace modul="episodes" if page=="voca013""
"voca","voca018","episodes","replace modul="episodes" if page=="voca018""
"voca","voca019","episodes","replace modul="episodes" if page=="voca019""
"voca","voca021","episodes","replace modul="episodes" if page=="voca021""
"voca","voca022","episodes","replace modul="episodes" if page=="voca022""
"voca","voca023","episodes","replace modul="episodes" if page=="voca023""
"vocz","vocz008","episodes","replace modul="episodes" if page=="vocz008""
"vocz","vocz009","episodes","replace modul="episodes" if page=="vocz009""
"vocz","vocz013","episodes","replace modul="episodes" if page=="vocz013""
